Accident_ID,Location,Date,Severity,Weather,Vehicle_Type,Injuries,Fatalities,Cause,Road_Type,Vehicle_Speed,Alcohol_Involved,Road_Condition,Time
28,Location_28,2022-01-28,High,Rain,Truck,4,2,Road conditions,Highway,89,False,Wet,1970-01-01 23:00:00
29,Location_29,2022-01-29,High,Snow,Truck,4,1,Human error,City street,68,False,Wet,1970-01-01 02:00:00
30,Location_30,2022-01-30,High,Clear,Car,9,0,Road conditions,Rural road,49,True,Dry,1970-01-01 15:00:00
31,Location_31,2022-01-31,Medium,Clear,Truck,9,0,Weather conditions,Highway,91,True,Dry,1970-01-01 02:00:00
32,Location_32,2022-02-01,High,Snow,Car,7,0,Weather conditions,City street,35,True,Wet,1970-01-01 07:00:00
33,Location_33,2022-02-02,Medium,Rain,Motorcycle,6,2,Road conditions,Highway,72,False,Wet,1970-01-01 18:00:00
34,Location_34,2022-02-03,Medium,Rain,Motorcycle,7,0,Weather conditions,City street,25,True,Wet,1970-01-01 11:00:00
35,Location_35,2022-02-04,High,Rain,Motorcycle,7,1,Human error,City street,43,False,Wet,1970-01-01 17:00:00
36,Location_36,2022-02-05,Medium,Rain,Car,6,2,Human error,Highway,47,False,Icy,1970-01-01 12:00:00
37,Location_37,2022-02-06,High,Snow,Car,1,2,Road conditions,Highway,40,True,Icy,1970-01-01 10:00:00
38,Location_38,2022-02-07,High,Snow,Truck,8,0,Weather conditions,Rural road,27,False,Wet,1970-01-01 12:00:00
39,Location_39,2022-02-08,Low,Clear,Truck,6,2,Weather conditions,Rural road,55,True,Wet,1970-01-01 20:00:00
40,Location_40,2022-02-09,High,Rain,Truck,5,2,Road conditions,Rural road,28,True,Wet,1970-01-01 02:00:00
41,Location_41,2022-02-10,Low,Rain,Truck,8,0,Human error,Highway,59,False,Icy,1970-01-01 05:00:00
42,Location_42,2022-02-11,High,Rain,Truck,0,1,Road conditions,Rural road,70,True,Dry,1970-01-01 22:00:00
43,Location_43,2022-02-12,High,Snow,Car,1,1,Weather conditions,City street,20,False,Icy,1970-01-01 02:00:00
44,Location_44,2022-02-13,Low,Rain,Car,0,0,Weather conditions,Highway,82,False,Icy,1970-01-01 00:00:00
45,Location_45,2022-02-14,Low,Snow,Motorcycle,9,1,Road conditions,City street,87,True,Wet,1970-01-01 13:00:00
46,Location_46,2022-02-15,High,Rain,Motorcycle,2,1,Human error,City street,93,False,Wet,1970-01-01 22:00:00
47,Location_47,2022-02-16,Medium,Rain,Motorcycle,4,1,Human error,City street,45,False,Dry,1970-01-01 19:00:00
48,Location_48,2022-02-17,Low,Clear,Motorcycle,0,2,Road conditions,Highway,59,True,Wet,1970-01-01 06:00:00
49,Location_49,2022-02-18,Medium,Rain,Car,3,2,Weather conditions,Highway,22,False,Wet,1970-01-01 08:00:00
50,Location_50,2022-02-19,Medium,Rain,Car,7,2,Human error,Rural road,28,True,Dry,1970-01-01 00:00:00
51,Location_51,2022-02-20,Medium,Clear,Car,5,1,Road conditions,Rural road,51,True,Wet,1970-01-01 09:00:00
52,Location_52,2022-02-21,Low,Snow,Truck,0,2,Weather conditions,Rural road,86,False,Wet,1970-01-01 12:00:00
53,Location_53,2022-02-22,Medium,Snow,Truck,0,1,Human error,Rural road,23,False,Wet,1970-01-01 11:00:00
54,Location_54,2022-02-23,Low,Rain,Motorcycle,2,0,Human error,City street,25,True,Icy,1970-01-01 03:00:00
55,Location_55,2022-02-24,Medium,Snow,Truck,9,1,Road conditions,Highway,92,False,Wet,1970-01-01 06:00:00
56,Location_56,2022-02-25,High,Rain,Car,7,2,Weather conditions,Rural road,45,True,Icy,1970-01-01 09:00:00
57,Location_57,2022-02-26,High,Clear,Motorcycle,7,1,Human error,City street,21,False,Wet,1970-01-01 21:00:00
58,Location_58,2022-02-27,Low,Clear,Motorcycle,2,2,Road conditions,Highway,85,True,Wet,1970-01-01 06:00:00
59,Location_59,2022-02-28,High,Rain,Truck,6,2,Human error,Highway,22,True,Icy,1970-01-01 14:00:00
60,Location_60,2022-03-01,High,Clear,Motorcycle,2,0,Weather conditions,Highway,54,False,Icy,1970-01-01 18:00:00
61,Location_61,2022-03-02,Medium,Clear,Truck,3,0,Human error,City street,78,False,Wet,1970-01-01 06:00:00
62,Location_62,2022-03-03,Low,Rain,Truck,8,2,Weather conditions,Rural road,57,False,Dry,1970-01-01 13:00:00
63,Location_63,2022-03-04,Medium,Rain,Motorcycle,3,1,Human error,Highway,52,True,Wet,1970-01-01 20:00:00
64,Location_64,2022-03-05,Medium,Clear,Truck,2,0,Human error,City street,34,True,Icy,1970-01-01 13:00:00
65,Location_65,2022-03-06,Medium,Snow,Truck,4,0,Road conditions,Highway,94,False,Wet,1970-01-01 17:00:00
66,Location_66,2022-03-07,Medium,Snow,Truck,6,2,Human error,City street,93,False,Wet,1970-01-01 09:00:00
67,Location_67,2022-03-08,Medium,Rain,Truck,4,1,Weather conditions,Rural road,33,True,Icy,1970-01-01 02:00:00
68,Location_68,2022-03-09,Medium,Rain,Motorcycle,3,0,Road conditions,Rural road,85,False,Dry,1970-01-01 05:00:00
69,Location_69,2022-03-10,Medium,Snow,Car,7,0,Weather conditions,Highway,64,False,Dry,1970-01-01 21:00:00
70,Location_70,2022-03-11,Low,Clear,Car,3,1,Weather conditions,Rural road,67,True,Icy,1970-01-01 22:00:00
71,Location_71,2022-03-12,High,Snow,Truck,1,0,Road conditions,Rural road,63,False,Icy,1970-01-01 21:00:00
72,Location_72,2022-03-13,Medium,Snow,Truck,9,1,Weather conditions,City street,56,True,Wet,1970-01-01 08:00:00
73,Location_73,2022-03-14,Medium,Snow,Truck,5,2,Human error,City street,48,True,Icy,1970-01-01 13:00:00
74,Location_74,2022-03-15,Medium,Snow,Car,1,0,Road conditions,Highway,53,False,Icy,1970-01-01 20:00:00
75,Location_75,2022-03-16,Medium,Rain,Truck,2,2,Human error,City street,78,False,Wet,1970-01-01 20:00:00
76,Location_76,2022-03-17,Medium,Rain,Motorcycle,0,1,Human error,Rural road,62,False,Wet,1970-01-01 23:00:00
77,Location_77,2022-03-18,Medium,Clear,Motorcycle,4,2,Weather conditions,City street,52,True,Wet,1970-01-01 07:00:00
78,Location_78,2022-03-19,High,Clear,Motorcycle,8,2,Weather conditions,Rural road,38,True,Dry,1970-01-01 00:00:00
79,Location_79,2022-03-20,High,Clear,Car,1,2,Human error,Highway,27,True,Dry,1970-01-01 02:00:00
80,Location_80,2022-03-21,Medium,Clear,Truck,6,1,Road conditions,Rural road,50,False,Icy,1970-01-01 21:00:00
81,Location_81,2022-03-22,High,Snow,Truck,4,1,Human error,City street,30,True,Wet,1970-01-01 05:00:00
82,Location_82,2022-03-23,Low,Rain,Truck,1,1,Human error,City street,27,True,Icy,1970-01-01 00:00:00
83,Location_83,2022-03-24,Medium,Rain,Car,7,1,Weather conditions,City street,44,True,Icy,1970-01-01 17:00:00
84,Location_84,2022-03-25,Low,Clear,Car,5,1,Weather conditions,City street,39,False,Dry,1970-01-01 09:00:00
85,Location_85,2022-03-26,Low,Clear,Car,3,0,Human error,Highway,57,True,Dry,1970-01-01 22:00:00
86,Location_86,2022-03-27,Medium,Snow,Car,3,0,Human error,Rural road,26,False,Icy,1970-01-01 16:00:00
87,Location_87,2022-03-28,High,Snow,Motorcycle,1,0,Weather conditions,City street,96,False,Wet,1970-01-01 20:00:00
88,Location_88,2022-03-29,Low,Clear,Car,2,2,Human error,Rural road,58,True,Dry,1970-01-01 00:00:00
89,Location_89,2022-03-30,Medium,Rain,Car,6,2,Weather conditions,Highway,93,True,Dry,1970-01-01 21:00:00
90,Location_90,2022-03-31,Low,Rain,Car,2,1,Human error,Rural road,91,True,Dry,1970-01-01 22:00:00
91,Location_91,2022-04-01,Low,Rain,Truck,4,1,Road conditions,City street,39,False,Icy,1970-01-01 07:00:00
92,Location_92,2022-04-02,Low,Clear,Truck,9,0,Road conditions,Rural road,30,False,Dry,1970-01-01 11:00:00
93,Location_93,2022-04-03,Low,Rain,Truck,5,1,Human error,City street,35,False,Wet,1970-01-01 18:00:00
94,Location_94,2022-04-04,High,Snow,Motorcycle,5,2,Weather conditions,City street,61,False,Dry,1970-01-01 13:00:00
95,Location_95,2022-04-05,Low,Snow,Motorcycle,3,1,Human error,Highway,71,True,Icy,1970-01-01 18:00:00
96,Location_96,2022-04-06,Low,Clear,Car,5,0,Human error,Highway,56,True,Icy,1970-01-01 16:00:00
97,Location_97,2022-04-07,Low,Snow,Truck,2,1,Weather conditions,Rural road,71,False,Icy,1970-01-01 15:00:00
98,Location_98,2022-04-08,High,Clear,Motorcycle,6,2,Human error,Rural road,28,False,Icy,1970-01-01 18:00:00
99,Location_99,2022-04-09,Low,Rain,Truck,6,0,Weather conditions,City street,54,False,Wet,1970-01-01 04:00:00
100,Location_100,2022-04-10,Low,Rain,Motorcycle,3,1,Human error,City street,86,False,Icy,1970-01-01 21:00:00
101,Location_101,2022-04-11,High,Rain,Motorcycle,1,2,Weather conditions,City street,26,False,Dry,1970-01-01 18:00:00
102,Location_102,2022-04-12,High,Snow,Car,6,0,Human error,City street,21,False,Wet,1970-01-01 03:00:00
103,Location_103,2022-04-13,High,Clear,Car,2,0,Road conditions,Highway,44,False,Icy,1970-01-01 04:00:00
104,Location_104,2022-04-14,Low,Rain,Motorcycle,0,2,Weather conditions,City street,95,False,Icy,1970-01-01 04:00:00
105,Location_105,2022-04-15,High,Clear,Car,1,1,Road conditions,Highway,60,True,Wet,1970-01-01 23:00:00
106,Location_106,2022-04-16,High,Rain,Motorcycle,9,1,Weather conditions,Rural road,94,True,Dry,1970-01-01 00:00:00
107,Location_107,2022-04-17,Low,Snow,Motorcycle,8,1,Weather conditions,Rural road,71,False,Wet,1970-01-01 17:00:00
108,Location_108,2022-04-18,High,Snow,Truck,7,0,Weather conditions,Highway,96,True,Dry,1970-01-01 14:00:00
109,Location_109,2022-04-19,Low,Clear,Car,5,0,Weather conditions,City street,84,True,Dry,1970-01-01 20:00:00
110,Location_110,2022-04-20,Medium,Snow,Car,5,1,Human error,Rural road,96,True,Icy,1970-01-01 18:00:00
111,Location_111,2022-04-21,High,Snow,Car,0,0,Human error,Highway,57,False,Wet,1970-01-01 22:00:00
112,Location_112,2022-04-22,Medium,Clear,Truck,1,0,Weather conditions,Rural road,86,False,Wet,1970-01-01 13:00:00
113,Location_113,2022-04-23,Low,Rain,Truck,3,2,Human error,City street,99,False,Icy,1970-01-01 05:00:00
114,Location_114,2022-04-24,High,Snow,Truck,2,1,Weather conditions,Highway,61,True,Icy,1970-01-01 17:00:00
115,Location_115,2022-04-25,Low,Clear,Car,0,1,Weather conditions,Rural road,90,False,Dry,1970-01-01 07:00:00
116,Location_116,2022-04-26,Medium,Snow,Car,7,1,Road conditions,City street,73,True,Icy,1970-01-01 04:00:00
117,Location_117,2022-04-27,Low,Snow,Car,6,0,Weather conditions,Highway,86,False,Wet,1970-01-01 21:00:00
118,Location_118,2022-04-28,High,Snow,Truck,3,0,Weather conditions,Highway,97,False,Icy,1970-01-01 07:00:00
119,Location_119,2022-04-29,High,Snow,Truck,8,0,Human error,Highway,83,True,Icy,1970-01-01 05:00:00
120,Location_120,2022-04-30,Medium,Clear,Motorcycle,3,1,Weather conditions,Highway,99,False,Icy,1970-01-01 09:00:00
121,Location_121,2022-05-01,Low,Clear,Truck,0,0,Weather conditions,Rural road,23,True,Icy,1970-01-01 02:00:00
122,Location_122,2022-05-02,High,Clear,Motorcycle,9,1,Road conditions,Highway,50,False,Icy,1970-01-01 12:00:00
123,Location_123,2022-05-03,Medium,Snow,Car,0,0,Human error,Highway,32,False,Dry,1970-01-01 06:00:00
124,Location_124,2022-05-04,High,Snow,Truck,0,1,Human error,Highway,46,False,Icy,1970-01-01 03:00:00
125,Location_125,2022-05-05,High,Snow,Car,0,2,Road conditions,Highway,78,True,Icy,1970-01-01 12:00:00
126,Location_126,2022-05-06,Low,Clear,Car,3,0,Weather conditions,Highway,84,False,Wet,1970-01-01 05:00:00
127,Location_127,2022-05-07,High,Snow,Car,0,1,Road conditions,City street,83,True,Icy,1970-01-01 15:00:00
128,Location_128,2022-05-08,Low,Rain,Car,1,2,Human error,Rural road,44,True,Wet,1970-01-01 21:00:00
129,Location_129,2022-05-09,High,Snow,Truck,3,2,Road conditions,City street,56,True,Wet,1970-01-01 20:00:00
130,Location_130,2022-05-10,Medium,Rain,Car,6,0,Human error,Rural road,94,False,Wet,1970-01-01 00:00:00
131,Location_131,2022-05-11,High,Snow,Motorcycle,1,1,Road conditions,Highway,92,False,Wet,1970-01-01 23:00:00
132,Location_132,2022-05-12,Low,Clear,Truck,7,0,Weather conditions,Rural road,90,False,Dry,1970-01-01 12:00:00
133,Location_133,2022-05-13,Low,Snow,Car,6,2,Weather conditions,Highway,33,False,Dry,1970-01-01 01:00:00
134,Location_134,2022-05-14,Medium,Rain,Truck,8,0,Human error,Highway,43,False,Wet,1970-01-01 19:00:00
135,Location_135,2022-05-15,High,Rain,Motorcycle,5,1,Road conditions,City street,86,True,Dry,1970-01-01 18:00:00
136,Location_136,2022-05-16,High,Snow,Car,3,2,Human error,City street,67,True,Dry,1970-01-01 05:00:00
137,Location_137,2022-05-17,Medium,Rain,Motorcycle,5,0,Weather conditions,City street,84,True,Icy,1970-01-01 10:00:00
138,Location_138,2022-05-18,High,Rain,Car,3,0,Human error,Rural road,57,True,Dry,1970-01-01 16:00:00
139,Location_139,2022-05-19,High,Clear,Motorcycle,6,0,Weather conditions,Rural road,89,True,Wet,1970-01-01 08:00:00
140,Location_140,2022-05-20,Low,Snow,Car,8,0,Human error,City street,78,True,Wet,1970-01-01 04:00:00
141,Location_141,2022-05-21,High,Snow,Truck,2,0,Road conditions,City street,31,False,Wet,1970-01-01 04:00:00
142,Location_142,2022-05-22,High,Snow,Car,2,2,Weather conditions,Highway,73,True,Wet,1970-01-01 15:00:00
143,Location_143,2022-05-23,Medium,Rain,Truck,1,2,Human error,Rural road,70,True,Icy,1970-01-01 03:00:00
144,Location_144,2022-05-24,Medium,Snow,Car,0,1,Weather conditions,Highway,57,True,Dry,1970-01-01 19:00:00
145,Location_145,2022-05-25,Low,Snow,Car,0,0,Road conditions,Rural road,65,True,Wet,1970-01-01 12:00:00
146,Location_146,2022-05-26,High,Clear,Motorcycle,2,1,Weather conditions,City street,29,False,Icy,1970-01-01 16:00:00
147,Location_147,2022-05-27,High,Clear,Motorcycle,6,2,Road conditions,Rural road,28,True,Wet,1970-01-01 08:00:00
148,Location_148,2022-05-28,High,Clear,Motorcycle,8,0,Weather conditions,Rural road,71,False,Dry,1970-01-01 12:00:00
149,Location_149,2022-05-29,Low,Rain,Car,1,1,Road conditions,Highway,70,False,Icy,1970-01-01 15:00:00
150,Location_150,2022-05-30,Low,Snow,Car,6,0,Weather conditions,City street,41,True,Dry,1970-01-01 19:00:00
151,Location_151,2022-05-31,Medium,Clear,Car,0,0,Road conditions,City street,92,True,Icy,1970-01-01 09:00:00
152,Location_152,2022-06-01,Low,Clear,Truck,1,1,Human error,City street,91,False,Wet,1970-01-01 09:00:00
153,Location_153,2022-06-02,High,Clear,Truck,5,2,Human error,Highway,87,True,Wet,1970-01-01 19:00:00
154,Location_154,2022-06-03,High,Snow,Car,4,1,Weather conditions,Highway,24,True,Dry,1970-01-01 15:00:00
155,Location_155,2022-06-04,Low,Snow,Motorcycle,7,1,Road conditions,Highway,48,True,Dry,1970-01-01 22:00:00
156,Location_156,2022-06-05,High,Snow,Motorcycle,1,1,Human error,Rural road,25,False,Icy,1970-01-01 19:00:00
157,Location_157,2022-06-06,High,Rain,Motorcycle,0,0,Weather conditions,Rural road,88,True,Dry,1970-01-01 00:00:00
158,Location_158,2022-06-07,Low,Rain,Car,6,2,Human error,Highway,77,False,Dry,1970-01-01 10:00:00
159,Location_159,2022-06-08,Low,Clear,Motorcycle,5,2,Road conditions,Highway,62,False,Wet,1970-01-01 12:00:00
160,Location_160,2022-06-09,High,Snow,Car,7,0,Weather conditions,City street,88,False,Wet,1970-01-01 17:00:00
161,Location_161,2022-06-10,High,Clear,Truck,7,2,Road conditions,Rural road,91,True,Wet,1970-01-01 04:00:00
162,Location_162,2022-06-11,High,Snow,Motorcycle,1,1,Road conditions,Rural road,56,False,Wet,1970-01-01 03:00:00
163,Location_163,2022-06-12,Medium,Snow,Truck,7,2,Road conditions,City street,77,True,Wet,1970-01-01 23:00:00
164,Location_164,2022-06-13,Medium,Snow,Motorcycle,5,0,Human error,City street,56,False,Wet,1970-01-01 05:00:00
165,Location_165,2022-06-14,Medium,Rain,Car,8,2,Weather conditions,City street,45,True,Wet,1970-01-01 14:00:00
166,Location_166,2022-06-15,Low,Rain,Car,6,0,Road conditions,Highway,61,True,Icy,1970-01-01 22:00:00
167,Location_167,2022-06-16,Medium,Snow,Car,1,1,Human error,Highway,35,False,Wet,1970-01-01 01:00:00
168,Location_168,2022-06-17,Low,Clear,Car,7,0,Road conditions,Highway,41,False,Wet,1970-01-01 03:00:00
169,Location_169,2022-06-18,Low,Snow,Motorcycle,8,2,Human error,Highway,42,False,Wet,1970-01-01 13:00:00
170,Location_170,2022-06-19,Medium,Snow,Truck,6,1,Weather conditions,Highway,66,True,Wet,1970-01-01 03:00:00
171,Location_171,2022-06-20,Medium,Clear,Car,3,2,Weather conditions,Rural road,86,True,Wet,1970-01-01 17:00:00
172,Location_172,2022-06-21,Medium,Snow,Motorcycle,8,0,Weather conditions,Rural road,22,True,Dry,1970-01-01 19:00:00
173,Location_173,2022-06-22,High,Clear,Truck,3,1,Weather conditions,Rural road,31,False,Dry,1970-01-01 15:00:00
174,Location_174,2022-06-23,Medium,Rain,Car,3,0,Road conditions,City street,42,True,Wet,1970-01-01 08:00:00
175,Location_175,2022-06-24,High,Rain,Truck,8,2,Human error,Rural road,30,True,Wet,1970-01-01 07:00:00
176,Location_176,2022-06-25,Low,Clear,Car,7,0,Weather conditions,City street,71,True,Wet,1970-01-01 10:00:00
177,Location_177,2022-06-26,High,Rain,Truck,3,2,Road conditions,Rural road,69,False,Icy,1970-01-01 13:00:00
178,Location_178,2022-06-27,Medium,Rain,Truck,7,2,Weather conditions,Highway,76,False,Wet,1970-01-01 16:00:00
179,Location_179,2022-06-28,Low,Clear,Car,7,1,Weather conditions,Rural road,83,True,Icy,1970-01-01 12:00:00
180,Location_180,2022-06-29,Low,Rain,Motorcycle,6,1,Weather conditions,Highway,65,False,Icy,1970-01-01 07:00:00
181,Location_181,2022-06-30,Low,Snow,Truck,9,0,Human error,Highway,48,False,Wet,1970-01-01 13:00:00
182,Location_182,2022-07-01,High,Snow,Car,5,2,Human error,Rural road,89,False,Dry,1970-01-01 10:00:00
183,Location_183,2022-07-02,Medium,Clear,Truck,7,2,Human error,Rural road,65,False,Wet,1970-01-01 08:00:00
184,Location_184,2022-07-03,Low,Rain,Truck,6,1,Weather conditions,Highway,35,False,Wet,1970-01-01 07:00:00
185,Location_185,2022-07-04,Low,Snow,Motorcycle,4,1,Road conditions,City street,70,False,Dry,1970-01-01 13:00:00
186,Location_186,2022-07-05,Low,Snow,Truck,3,1,Road conditions,City street,30,False,Dry,1970-01-01 14:00:00
187,Location_187,2022-07-06,High,Rain,Truck,1,1,Road conditions,Rural road,30,False,Wet,1970-01-01 00:00:00
188,Location_188,2022-07-07,High,Rain,Car,7,0,Weather conditions,Highway,82,False,Wet,1970-01-01 23:00:00
189,Location_189,2022-07-08,Medium,Snow,Car,8,0,Human error,City street,72,True,Icy,1970-01-01 11:00:00
190,Location_190,2022-07-09,High,Snow,Motorcycle,3,0,Road conditions,Rural road,77,True,Dry,1970-01-01 04:00:00
191,Location_191,2022-07-10,Low,Clear,Truck,3,0,Weather conditions,Rural road,38,False,Icy,1970-01-01 13:00:00
192,Location_192,2022-07-11,Medium,Clear,Truck,4,1,Weather conditions,Highway,51,False,Icy,1970-01-01 21:00:00
193,Location_193,2022-07-12,Low,Snow,Truck,1,0,Road conditions,City street,69,False,Icy,1970-01-01 15:00:00
194,Location_194,2022-07-13,Low,Clear,Motorcycle,6,0,Road conditions,Rural road,91,False,Icy,1970-01-01 18:00:00
195,Location_195,2022-07-14,High,Snow,Truck,4,0,Weather conditions,City street,74,True,Dry,1970-01-01 15:00:00
196,Location_196,2022-07-15,Medium,Snow,Car,5,1,Road conditions,Rural road,95,False,Dry,1970-01-01 06:00:00
197,Location_197,2022-07-16,High,Clear,Motorcycle,3,2,Weather conditions,Rural road,60,True,Dry,1970-01-01 02:00:00
198,Location_198,2022-07-17,High,Clear,Car,7,1,Road conditions,City street,89,True,Wet,1970-01-01 22:00:00
199,Location_199,2022-07-18,Medium,Rain,Car,7,2,Human error,City street,40,True,Icy,1970-01-01 07:00:00
200,Location_200,2022-07-19,Low,Rain,Motorcycle,4,2,Weather conditions,Highway,45,True,Wet,1970-01-01 20:00:00
201,Location_201,2022-07-20,Low,Rain,Car,5,0,Human error,Highway,20,True,Dry,1970-01-01 20:00:00
202,Location_202,2022-07-21,Medium,Snow,Truck,2,0,Road conditions,Highway,46,True,Dry,1970-01-01 13:00:00
203,Location_203,2022-07-22,Low,Clear,Motorcycle,0,0,Weather conditions,Highway,69,False,Wet,1970-01-01 19:00:00
204,Location_204,2022-07-23,Medium,Snow,Car,8,1,Road conditions,City street,85,False,Icy,1970-01-01 02:00:00
205,Location_205,2022-07-24,Medium,Clear,Truck,8,1,Weather conditions,Highway,84,True,Dry,1970-01-01 23:00:00
206,Location_206,2022-07-25,High,Snow,Truck,2,0,Road conditions,City street,29,False,Icy,1970-01-01 10:00:00
207,Location_207,2022-07-26,Medium,Rain,Car,3,1,Human error,Rural road,56,True,Icy,1970-01-01 21:00:00
208,Location_208,2022-07-27,High,Rain,Truck,6,1,Human error,City street,88,False,Dry,1970-01-01 13:00:00
209,Location_209,2022-07-28,Low,Rain,Motorcycle,1,2,Road conditions,Highway,60,True,Wet,1970-01-01 21:00:00
210,Location_210,2022-07-29,Low,Snow,Car,2,1,Human error,City street,65,True,Icy,1970-01-01 01:00:00
211,Location_211,2022-07-30,Low,Clear,Truck,5,2,Human error,City street,96,False,Wet,1970-01-01 03:00:00
212,Location_212,2022-07-31,Low,Clear,Truck,7,0,Road conditions,City street,64,True,Icy,1970-01-01 20:00:00
213,Location_213,2022-08-01,High,Rain,Car,0,1,Weather conditions,City street,46,False,Icy,1970-01-01 04:00:00
214,Location_214,2022-08-02,Low,Rain,Car,3,2,Road conditions,City street,84,True,Dry,1970-01-01 18:00:00
215,Location_215,2022-08-03,Medium,Rain,Car,0,1,Weather conditions,Highway,27,False,Wet,1970-01-01 09:00:00
216,Location_216,2022-08-04,Medium,Rain,Car,1,2,Human error,City street,86,False,Icy,1970-01-01 20:00:00
217,Location_217,2022-08-05,Medium,Clear,Motorcycle,7,2,Human error,Highway,68,False,Wet,1970-01-01 20:00:00
218,Location_218,2022-08-06,High,Snow,Car,5,1,Human error,Rural road,33,False,Icy,1970-01-01 01:00:00
219,Location_219,2022-08-07,Low,Snow,Motorcycle,8,0,Human error,City street,81,False,Wet,1970-01-01 20:00:00
220,Location_220,2022-08-08,Low,Snow,Motorcycle,1,2,Human error,Rural road,62,True,Wet,1970-01-01 02:00:00
221,Location_221,2022-08-09,Low,Snow,Car,2,0,Weather conditions,Highway,46,True,Dry,1970-01-01 14:00:00
222,Location_222,2022-08-10,High,Rain,Motorcycle,8,1,Weather conditions,City street,46,False,Icy,1970-01-01 18:00:00
223,Location_223,2022-08-11,Medium,Rain,Car,8,1,Weather conditions,Rural road,87,True,Icy,1970-01-01 20:00:00
224,Location_224,2022-08-12,Medium,Rain,Car,5,0,Road conditions,Highway,94,True,Icy,1970-01-01 01:00:00
225,Location_225,2022-08-13,Low,Snow,Truck,2,1,Human error,Rural road,67,False,Icy,1970-01-01 02:00:00
226,Location_226,2022-08-14,Medium,Rain,Car,4,2,Human error,City street,86,False,Dry,1970-01-01 11:00:00
227,Location_227,2022-08-15,Medium,Rain,Truck,1,0,Human error,City street,44,True,Dry,1970-01-01 22:00:00
228,Location_228,2022-08-16,High,Clear,Motorcycle,6,1,Road conditions,City street,83,False,Icy,1970-01-01 13:00:00
229,Location_229,2022-08-17,High,Clear,Truck,9,1,Road conditions,Highway,43,False,Wet,1970-01-01 16:00:00
230,Location_230,2022-08-18,High,Rain,Motorcycle,7,0,Road conditions,Rural road,28,False,Dry,1970-01-01 15:00:00
